,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speeds,Country,Date
125,zhigansk,66.77,123.37,-13.25,89,84,0.63,RU,1604145274
126,hit,33.64,42.83,88.2,12,0,12.35,IQ,1604145479
127,wanaka,-44.7,169.15,46.2,74,48,6.24,NZ,1604145479
128,roald,62.58,6.13,48.2,70,0,9.17,NO,1604145480
129,wawa,9.9,4.42,94.03,24,12,4.99,NG,1604145480
130,griffith,41.53,-87.42,32.0,86,1,6.93,US,1604145480
131,avarua,-21.21,-159.78,73.4,83,100,14.99,CK,1604145480
132,beloostrov,60.15,30.0,46.99,83,61,1.01,RU,1604145480
133,cherskiy,68.75,161.3,6.22,88,87,4.0,RU,1604145480
134,mutuipe,-13.23,-39.5,78.53,72,99,4.38,BR,1604145480
135,tabas,33.6,56.92,82.4,13,0,2.24,IR,1604145480
136,brownwood,31.71,-98.99,39.2,93,1,7.38,US,1604145480
137,paso de los toros,-32.82,-56.52,57.2,82,20,6.93,UY,1604145480
138,palmas,-10.21,-48.36,78.8,83,75,5.82,BR,1604145480
139,ostersund,63.18,14.64,43.0,86,26,2.24,SE,1604145481
140,constitucion,-35.33,-72.42,62.28,62,0,2.37,CL,1604145356
141,betare oya,5.6,14.08,85.59,49,14,6.98,CM,1604145481
142,camargo,27.67,-105.17,54.84,42,90,4.79,MX,1604145481
143,sobolevo,54.43,31.9,50.11,82,100,9.06,RU,1604145481
144,mezen,65.85,44.24,35.62,85,68,8.95,RU,1604145481
145,san patricio,28.02,-97.52,60.8,100,1,5.82,US,1604145481
146,high level,58.52,-117.14,24.8,92,90,4.7,CA,1604145481
147,issoire,45.55,3.25,66.2,48,0,6.93,FR,1604145481
148,dori,14.04,-0.03,97.61,9,0,12.37,BF,1604145481
149,barrow,71.29,-156.79,8.6,78,90,6.4,US,1604145482
150,kalmunai,7.42,81.82,82.31,76,100,6.17,LK,1604145482
151,nishihara,26.18,127.76,75.2,53,40,14.99,JP,1604145482
152,basarabeasca,46.33,28.97,51.8,66,40,9.17,MD,1604145482
153,port lincoln,-34.73,135.87,55.98,83,4,9.93,AU,1604145482
154,baykit,61.67,96.37,2.26,89,26,1.01,RU,1604145482
155,isangel,-19.55,169.27,75.29,79,95,15.43,VU,1604145482
156,cockburn town,21.46,-71.14,83.37,78,94,19.75,TC,1604145264
157,pocao de pedras,-4.67,-44.85,87.33,54,42,5.7,BR,1604145482
158,oktyabrskiy,54.48,53.47,40.96,77,100,4.97,RU,1604145482
159,hirara,24.8,125.28,75.2,73,40,11.41,JP,1604145482
160,half moon bay,37.46,-122.43,52.0,87,90,3.36,US,1604145483
161,matara,5.95,80.54,81.64,75,84,10.02,LK,1604145483
162,akyab,20.15,92.9,82.02,74,60,4.09,MM,1604145483
163,lahij,13.17,44.58,86.63,39,7,16.2,YE,1604145483
164,chokurdakh,70.63,147.92,6.12,96,100,4.47,RU,1604145483
165,knokke-heist,51.33,3.33,59.0,72,0,24.16,BE,1604145483
166,konevo,62.12,39.32,35.02,87,13,3.09,RU,1604145483
167,madang,-5.22,145.8,79.02,85,57,4.09,PG,1604145483
168,huarmey,-10.07,-78.15,63.5,83,99,6.49,PE,1604145483
169,taian,36.19,117.12,62.01,70,65,3.58,CN,1604145483
170,guayaramerin,-10.84,-65.36,76.24,57,100,6.51,BO,1604145484
171,asadabad,34.78,48.12,75.2,11,0,4.7,IR,1604145484
172,saldanha,-33.01,17.94,80.6,26,0,14.99,ZA,1604145484
173,thompson,55.74,-97.86,15.8,85,90,19.46,CA,1604145484
174,khuzdar,27.74,66.64,74.3,17,0,5.03,PK,1604145484
175,puerto rondon,6.28,-71.1,76.86,89,100,7.52,CO,1604145484
176,provideniya,64.38,-173.3,20.05,86,74,7.56,RU,1604145484
177,souillac,-20.52,57.52,75.2,53,40,14.99,MU,1604145484
178,nanortalik,60.14,-45.24,28.58,90,48,10.78,GL,1604145484
179,hobart,-42.88,147.33,55.4,76,75,4.7,AU,1604145483
180,sabang,5.89,95.32,82.38,80,62,16.28,ID,1604145484
181,saint-augustin,51.23,-58.65,25.92,80,6,12.08,CA,1604145484
182,erdenet,49.03,104.08,25.27,78,62,6.67,MN,1604145485
183,vostok,46.49,135.88,32.9,93,100,4.45,RU,1604145485
184,jalapa,19.53,-96.92,53.24,82,96,3.0,MX,1604145485
185,torbay,47.67,-52.73,36.0,59,90,11.41,CA,1604145485
186,buin,-33.73,-70.75,68.0,67,0,2.24,CL,1604145485
187,kalawit,8.07,122.52,80.1,80,100,0.54,PH,1604145485
188,kysyl-syr,63.9,122.76,-8.77,89,25,3.33,RU,1604145485
189,kirkwood,38.58,-90.41,41.0,86,40,6.93,US,1604145485
190,carnarvon,-24.87,113.63,69.8,88,75,12.75,AU,1604145485
191,bubaque,11.28,-15.83,84.34,62,99,3.29,GW,1604145485
192,yatou,37.15,122.38,60.19,75,99,11.63,CN,1604145485
193,los llanos de aridane,28.66,-17.92,78.8,69,0,12.75,ES,1604145485
194,diffa,13.32,12.61,95.05,13,0,16.49,NE,1604145485
195,vardo,70.37,31.11,32.0,82,75,19.46,NO,1604145486
196,mar del plata,-38.0,-57.56,53.6,87,0,12.75,AR,1604145486
197,talara,-4.58,-81.27,64.06,86,95,12.08,PE,1604145486
198,virginia beach,36.85,-75.98,54.0,66,40,10.29,US,1604144873
199,chaoyang,41.57,120.46,50.52,35,0,10.07,CN,1604145486
200,bandarbeyla,9.49,50.81,80.55,69,72,15.68,SO,1604145486
201,kruisfontein,-34.0,24.73,69.01,59,13,10.0,ZA,1604145486
202,kabinda,-6.13,24.48,80.83,72,42,3.6,CD,1604145486
203,goderich,43.75,-81.72,33.8,74,87,5.82,CA,1604145486
204,tarko-sale,64.92,77.78,34.48,96,100,18.57,RU,1604145486
205,kuusamo,65.97,29.18,28.4,79,0,4.7,FI,1604145486
206,aguimes,27.91,-15.45,84.2,30,0,3.36,ES,1604145486
207,sampit,-2.53,112.95,75.11,94,100,4.38,ID,1604145486
208,pevek,69.7,170.31,14.52,97,100,11.34,RU,1604145487
209,lompoc,34.64,-120.46,51.8,93,90,6.93,US,1604145487
210,porto novo,6.5,2.6,87.8,74,40,11.41,BJ,1604145312
211,kavieng,-2.57,150.8,83.21,74,100,9.89,PG,1604145487
212,hurricane,37.18,-113.29,48.2,54,1,5.82,US,1604145487
213,rasht,37.28,49.58,75.2,73,4,6.93,IR,1604145487
214,abong mbang,3.98,13.18,84.69,49,20,6.69,CM,1604145487
215,carutapera,-1.2,-46.02,85.68,63,58,8.37,BR,1604145487
216,solnechnyy,50.72,136.63,34.03,90,100,4.5,RU,1604145487
217,deputatskiy,69.3,139.9,-3.75,93,100,4.47,RU,1604145487
218,lumeje,-11.55,20.78,84.74,39,87,5.64,AO,1604145487
219,matay,28.42,30.78,86.67,38,0,16.51,EG,1604145487
220,mount gambier,-37.83,140.77,48.2,81,75,6.93,AU,1604145487
221,son la,21.32,103.9,66.49,95,40,3.56,VN,1604145487
222,purranque,-40.92,-73.17,42.8,100,28,2.24,CL,1604145488
223,kargasok,59.06,80.86,33.93,95,100,11.72,RU,1604145488
224,yerbogachen,61.28,108.01,5.05,93,76,5.44,RU,1604145488
225,khandbari,27.37,87.2,70.27,46,86,2.55,NP,1604145488
226,severo-kurilsk,50.68,156.12,40.26,88,100,24.76,RU,1604145488
227,swan river,52.11,-101.27,30.2,80,78,29.97,CA,1604145488
228,bogorodskoye,56.55,37.88,44.69,79,93,5.32,RU,1604145488
229,ribeira grande,38.52,-28.7,69.8,94,75,18.34,PT,1604145488
230,dunedin,-45.87,170.5,48.99,82,59,4.0,NZ,1604145488
231,qaanaaq,77.48,-69.36,14.54,86,99,7.99,GL,1604145488
232,quelimane,-17.88,36.89,87.8,58,75,11.41,MZ,1604145488
233,hithadhoo,-0.6,73.08,83.1,74,78,11.56,MV,1604145488
234,ambovombe,-25.17,46.08,83.08,40,0,18.05,MG,1604145488
235,bilma,18.69,12.92,86.54,16,0,6.64,NE,1604145488
236,panzhihua,26.59,101.71,70.11,69,44,1.43,CN,1604145488
237,ponta do sol,32.67,-17.1,73.99,73,20,16.11,PT,1604145488
238,dalbandin,28.89,64.41,75.78,14,0,3.0,PK,1604145489
239,palmar de bravo,18.83,-97.57,50.0,89,51,1.01,MX,1604145489
240,belgrade,44.8,20.47,60.8,77,75,13.87,RS,1604145489
241,north platte,41.12,-100.77,28.4,92,1,4.7,US,1604145487
242,miri,4.41,114.01,82.4,88,40,2.24,MY,1604145489
243,kamyshin,50.1,45.42,55.27,57,83,6.71,RU,1604145489
244,tawang,27.58,91.87,48.58,70,40,2.71,IN,1604145489
245,codrington,-38.27,141.97,49.5,89,5,7.94,AU,1604145489
246,nouakchott,18.09,-15.98,86.0,35,6,12.75,MR,1604145338
247,romilly-sur-seine,48.51,3.73,62.6,67,20,10.29,FR,1604145210
248,korla,41.76,86.15,44.69,52,24,4.03,CN,1604145489
249,rawson,-43.3,-65.1,64.44,38,0,4.76,AR,1604145489
250,comodoro rivadavia,-45.87,-67.5,55.4,66,0,8.08,AR,1604145326
251,ahipara,-35.17,173.17,62.91,96,39,5.93,NZ,1604145489
252,aykhal,66.0,111.5,-0.4,84,0,2.24,RU,1604145489
253,srednekolymsk,67.45,153.68,4.59,94,100,1.36,RU,1604145489
254,esperance,-33.87,121.9,84.2,20,40,8.05,AU,1604145489
255,gold coast,-28.0,153.43,66.2,93,61,6.93,AU,1604145319
256,nioro,13.35,-15.75,92.17,31,95,4.83,GM,1604145490
257,hualmay,-11.1,-77.61,62.85,82,100,7.92,PE,1604145490
258,alberton,46.82,-64.07,37.4,69,98,23.04,CA,1604145490
259,baneh,36.0,45.89,71.87,18,0,13.35,IR,1604145490
260,cabo san lucas,22.89,-109.91,66.99,83,27,1.99,MX,1604145490
261,bukachacha,52.98,116.92,24.73,91,100,3.94,RU,1604145490
262,tucurui,-3.77,-49.67,83.14,68,41,4.88,BR,1604145490
263,wisconsin rapids,44.38,-89.82,28.0,79,1,5.82,US,1604145490
264,aventura,25.96,-80.14,78.8,100,75,5.82,US,1604145490
265,natal,-5.79,-35.21,78.8,88,75,14.99,BR,1604145220
266,kifri,34.7,44.97,86.41,12,0,7.96,IQ,1604145490
267,port elizabeth,-33.92,25.57,69.8,52,20,8.05,ZA,1604145490
268,huron,41.15,-82.55,28.99,90,14,5.57,US,1604145490
269,hamilton,39.18,-84.53,36.0,80,1,6.93,US,1604145490
270,la ronge,55.1,-105.28,19.4,85,100,11.41,CA,1604145490
271,banda aceh,5.56,95.32,81.7,76,84,10.56,ID,1604145490
272,ialibu,-6.28,143.99,56.19,98,100,1.74,PG,1604145491
273,tura,25.52,90.22,73.0,95,95,2.35,IN,1604145491
274,ketchikan,55.34,-131.65,44.6,93,90,10.29,US,1604145204
275,wattegama,6.8,81.48,87.8,79,90,8.05,LK,1604145491
276,zeya,53.75,127.27,30.61,94,100,8.01,RU,1604145491
277,bac lieu,9.29,105.72,80.38,83,42,8.97,VN,1604145491
278,lovozero,68.0,35.01,24.66,94,0,2.37,RU,1604145491
279,kundiawa,-6.02,144.97,63.75,79,98,1.39,PG,1604145491
280,san jeronimo,-11.95,-75.28,48.38,72,100,1.7,PE,1604145491
281,emet,39.34,29.26,53.76,51,7,6.53,TR,1604145491
282,ternate,0.8,127.4,82.81,77,10,10.16,ID,1604145491
283,bilibino,68.05,166.44,-0.29,87,66,1.88,RU,1604145491
284,hambantota,6.12,81.12,87.8,79,90,8.05,LK,1604145492
285,cayenne,4.93,-52.33,80.6,94,0,1.12,GF,1604145492
286,novopokrovka,49.84,36.55,48.2,93,90,6.71,UA,1604145492
287,daru,-9.08,143.21,78.8,85,57,11.45,PG,1604145492
288,russell,32.35,-85.2,51.8,76,1,4.7,US,1604145492
289,clyde river,70.47,-68.59,17.6,92,90,8.05,CA,1604145492
290,tazovskiy,67.47,78.7,35.02,99,100,14.99,RU,1604145492
291,stellenbosch,-33.93,18.87,73.4,35,0,21.92,ZA,1604145492
292,red bluff,40.18,-122.24,51.8,40,1,8.05,US,1604145284
293,labuhan,-6.88,112.21,79.97,79,80,6.98,ID,1604145492
294,thinadhoo,0.53,72.93,82.71,75,85,11.16,MV,1604145421
295,saint george,37.1,-113.58,48.2,29,1,1.57,US,1604145347
296,miyako,39.64,141.95,47.77,75,0,4.88,JP,1604145492
297,aswan,24.09,32.91,95.74,16,0,8.59,EG,1604145492
298,ust-tsilma,65.44,52.15,34.81,88,81,8.68,RU,1604145493
299,cochrane,51.18,-114.47,27.0,79,1,2.82,CA,1604145493
300,atar,20.52,-13.05,96.73,10,36,13.71,MR,1604145493
301,richland,40.78,-82.55,32.0,80,1,5.82,US,1604145493
302,cap malheureux,-19.98,57.61,77.0,45,0,8.99,MU,1604145493
303,guerrero negro,27.98,-114.06,60.6,80,63,3.27,MX,1604145493
304,veliki preslav,43.17,26.82,55.45,67,90,9.33,BG,1604145493
305,roros,62.57,11.38,39.2,84,87,2.24,NO,1604145493
306,avera,33.19,-82.53,48.2,70,1,9.17,US,1604145493
307,moses lake,47.13,-119.28,42.8,74,1,3.36,US,1604145493
308,sungaipenuh,-2.08,101.38,66.61,95,100,0.87,ID,1604145493
309,jiuquan,39.74,98.52,41.22,56,21,7.87,CN,1604145493
310,quatre cocos,-20.21,57.76,77.0,53,40,14.99,MU,1604145493
311,aripuana,-9.17,-60.63,77.25,85,100,4.16,BR,1604145493
312,balestrand,61.21,6.53,37.99,100,20,13.87,NO,1604145494
313,aneho,6.23,1.6,89.6,62,20,9.17,TG,1604145494
314,alta floresta,-9.88,-56.09,78.22,77,100,2.82,BR,1604145494
315,nortelandia,-14.45,-56.8,77.16,63,93,4.85,BR,1604145494
316,bireun,5.2,96.7,81.64,78,99,2.71,ID,1604145494
317,high prairie,55.43,-116.49,21.2,92,0,6.93,CA,1604145494
318,yulara,-25.24,130.99,78.8,12,31,8.05,AU,1604145494
319,grand gaube,-20.01,57.66,77.0,45,0,8.99,MU,1604145494
320,acapulco,16.86,-99.89,78.87,71,88,2.93,MX,1604145494
321,meulaboh,4.14,96.13,80.64,77,88,1.66,ID,1604145494
322,ciudad bolivar,8.12,-63.55,81.84,75,47,9.86,VE,1604145494
323,batagay,67.63,134.63,-6.7,89,95,2.91,RU,1604145494
324,mogadishu,2.04,45.34,86.0,62,75,9.17,SO,1604145494
325,zyryanka,65.75,150.85,2.62,93,100,3.98,RU,1604145494
326,pospelikha,51.95,81.77,33.08,94,98,6.26,RU,1604145495
327,koslan,63.46,48.9,33.1,92,45,7.9,RU,1604145495
328,valparaiso,-33.04,-71.63,55.0,93,90,5.82,CL,1604145381
329,bati,11.18,40.02,79.59,32,18,9.24,ET,1604145495
330,chernyshevskiy,63.01,112.47,-4.05,91,0,3.74,RU,1604145495
331,karratha,-20.74,116.85,74.95,77,0,16.64,AU,1604145495
332,aksu,41.12,80.26,47.53,48,0,0.67,CN,1604145495
333,lakes entrance,-37.88,147.98,55.83,87,56,4.43,AU,1604145495
334,narsaq,60.92,-46.05,21.2,73,40,1.12,GL,1604145495
335,anloga,5.79,0.9,89.6,62,20,9.17,GH,1604145495
